client_id,purchase_date
165,6/18/2015
205,6/23/2015
235,6/15/2015
250,5/25/2015
250,6/24/2015
250,7/24/2015
251,5/2/2015
251,6/1/2015
251,7/1/2015
253,5/20/2015
253,6/19/2015
253,7/19/2015
400,6/3/2015
440,6/10/2015
472,6/10/2015
527,5/13/2015
527,6/12/2015
527,7/12/2015
611,6/23/2015
641,5/4/2015
641,7/28/2015
669,6/5/2015
747,5/25/2015
747,6/24/2015
747,7/24/2015
766,6/21/2015
781,6/29/2015
827,6/9/2015
886,5/2/2015
886,6/1/2015
886,7/1/2015
913,6/30/2015
939,5/19/2015
939,6/18/2015
939,7/18/2015
944,6/15/2015
963,5/13/2015
963,6/12/2015
976,6/11/2015
999,6/29/2015
1019,5/16/2015
1019,6/15/2015
1019,7/15/2015
1133,5/9/2015
1200,5/10/2015
1200,6/9/2015
1298,5/7/2015
1298,6/6/2015
1298,7/6/2015
1411,5/25/2015
1411,6/24/2015
1411,7/24/2015
1433,5/13/2015
1433,6/12/2015
1433,7/12/2015
1604,5/1/2015
1604,5/31/2015
1604,6/30/2015
1657,5/20/2015
1657,6/19/2015
1657,7/19/2015
1731,5/30/2015
1731,6/29/2015
1731,7/29/2015
1902,5/21/2015
1902,6/20/2015
1902,7/20/2015
1916,5/3/2015
1916,6/2/2015
1916,7/2/2015
1941,5/12/2015
1941,6/11/2015
1941,7/11/2015
2066,5/1/2015
2066,7/4/2015
2154,5/17/2015
2154,7/9/2015
2378,5/29/2015
2378,6/28/2015
2378,7/28/2015
2464,5/23/2015
2464,6/22/2015
2464,7/22/2015
2555,5/28/2015
2555,6/27/2015
2555,7/27/2015
2712,5/13/2015
2712,6/12/2015
2712,7/12/2015
2718,5/23/2015
2718,6/22/2015
2718,7/22/2015
2820,5/29/2015
2820,6/28/2015
2820,7/28/2015
2998,5/25/2015
2998,6/24/2015
2998,7/24/2015
3078,5/5/2015
3078,6/4/2015
3078,7/4/2015
3087,5/3/2015
3087,6/2/2015
3087,7/2/2015
3183,5/5/2015
3183,6/4/2015
3183,7/4/2015
3278,5/7/2015
3278,6/6/2015
3278,7/6/2015
3300,5/12/2015
3300,6/11/2015
3300,7/11/2015
3376,5/20/2015
3376,6/19/2015
3376,7/19/2015
3425,5/17/2015
3425,6/16/2015
3425,7/16/2015
3443,5/6/2015
3443,6/5/2015
3443,7/5/2015
3632,5/20/2015
3736,5/1/2015
3736,5/31/2015
3862,5/29/2015
3878,5/10/2015
3878,6/9/2015
3878,7/9/2015
3903,5/7/2015
3903,6/6/2015
3903,7/6/2015
3965,5/28/2015
3965,6/27/2015
3965,7/27/2015
3984,5/7/2015
4224,5/3/2015
4224,6/2/2015
4224,7/2/2015
4274,5/7/2015
4380,5/2/2015
4461,5/21/2015
4461,6/20/2015
4461,7/20/2015
4608,5/30/2015
4608,6/29/2015
4608,7/29/2015
4972,5/11/2015
4972,6/10/2015
4972,7/10/2015
5029,5/16/2015
5029,6/15/2015
5029,7/15/2015
5060,5/27/2015
5060,6/26/2015
5060,7/26/2015
5103,5/10/2015
5103,8/1/2015
5175,5/25/2015
5175,6/24/2015
5175,7/24/2015
5229,5/18/2015
5229,6/17/2015
5229,7/17/2015
5382,5/30/2015
5532,5/6/2015
5532,6/5/2015
5532,7/5/2015
5604,5/17/2015
5604,7/20/2015
5695,5/9/2015
5695,6/8/2015
5695,7/8/2015
5733,5/17/2015
5733,6/16/2015
5755,5/30/2015
5755,6/29/2015
5755,7/29/2015
5845,5/25/2015
5845,6/24/2015
5845,7/24/2015
6070,5/16/2015
6070,6/15/2015
6070,7/15/2015
6365,5/4/2015
6513,5/12/2015
6513,7/21/2015
6732,5/12/2015
6732,6/11/2015
6935,5/26/2015
6935,6/25/2015
6935,7/25/2015
6953,5/29/2015
6953,6/28/2015
6970,5/20/2015
6970,6/19/2015
6970,7/19/2015
7128,5/23/2015
7128,6/22/2015
7128,7/22/2015
7160,5/29/2015
7252,5/25/2015
7252,6/24/2015
7252,7/24/2015
7463,5/17/2015
7618,5/27/2015
7618,6/26/2015
7643,5/20/2015
7643,6/19/2015
7703,5/16/2015
7703,6/15/2015
7703,7/15/2015
7734,5/7/2015
7734,6/6/2015
7734,7/6/2015
7899,5/8/2015
7931,5/1/2015
7931,5/31/2015
7931,6/30/2015
7964,5/20/2015
7964,6/19/2015
7964,7/19/2015
8011,5/14/2015
8011,6/13/2015
8011,7/13/2015
8073,5/28/2015
8073,6/27/2015
8073,7/27/2015
8125,5/11/2015
8125,6/10/2015
8189,5/29/2015
8341,5/4/2015
8341,6/3/2015
8341,7/3/2015
8381,5/27/2015
8381,6/26/2015
8381,7/26/2015
8525,5/11/2015
8525,6/10/2015
8525,7/10/2015
8586,5/17/2015
8586,6/16/2015
8586,7/16/2015
8708,5/7/2015
8791,5/4/2015
8791,6/3/2015
8827,5/17/2015
8827,6/16/2015
8827,7/16/2015
9173,5/3/2015
9173,6/2/2015
9173,7/2/2015
9249,5/31/2015
9249,6/30/2015
9249,7/30/2015
9318,5/5/2015
9318,6/4/2015
9318,7/4/2015
9364,5/19/2015
9364,6/18/2015
9364,7/18/2015
9602,5/17/2015
9602,6/16/2015
9602,7/16/2015
9704,5/27/2015
9704,6/26/2015
9704,7/26/2015
9902,5/11/2015
9990,5/5/2015
9990,6/4/2015
9990,7/4/2015